brand,date,id_val,model,price,year,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train,sold
3305,Toyota,2018-08-30, ID: 1796687,Camry ,10650.0,2012,black,Sedan,,Left,,Petrol,,,126000.0,Automatic,,Yes
3306,BMW,2018-08-30, ID: 1796671,740 ,9000.0,2005,Blue,Sedan,,Left,,Petrol,4.0,Grey,3000.0,Automatic,,Yes
3307,Opel,2018-08-30, ID: 1797341,Combo ,5100.0,2010,White,Hatchback,,Left,,Diesel,,,158000.0,Mechanical,,No
3308,Mercedes-Benz,2018-08-30, ID: 1797123,E 320 ,7500.0,2004,Other color,Sedan,,Left,,Astragalus,,,260000.0,Automatic,,Yes
3309,BMW,2018-08-30, ID: 1796696,735 ,7000.0,2003,black,Sedan,,Left,,Petrol,,,190000.0,Automatic,,No
3310,Toyota,2018-08-30, ID: 1797291,Land Cruiser Prado ,14100.0,2007,black,Truck:,,Left,,Petrol,,,160000.0,Automatic,,Yes
3311,Kia,2018-08-30, ID: 1796852,Forte Coupe ,7500.0,2012,White,Sedan,,Left,,Petrol,,,74000.0,Automatic,,Yes
3312,Lexus,2018-08-30, ID: 1796599,GX 470 ,12500.0,2004,Silver,Truck:,238.0,Left,8.0,Petrol,4.7,Beige,105000.0,Automatic,Wheel drive,No
3313,Lexus,2018-08-30, ID: 1797257,RX 330 ,12000.0,2004,Blue,Truck:,,Left,,Astragalus,,,150000.0,Automatic,,No
3314,Niva,2018-08-30, ID: 1796900,2121 ,6700.0,2016,White,Universal,,Left,,Petrol,,,49000.0,Mechanical,,No
3315,Honda,2018-08-30, ID: 1797125,Accord ,19500.0,2016,black,Sedan,,Left,,Petrol,,,21000.0,Automatic,,No
3316,Honda,2018-08-30, ID: 1797078,Fit ,3900.0,2009,black,Hatchback,,Right,,Petrol,,,138000.0,Automatic,,No
3317,Honda,2018-08-30, ID: 1796856,Elysion ,6000.0,2005,White,Minivan / Minibus,,Right,,Astragalus,,,102000.0,Automatic,,No
3318,Lexus,2018-08-30, ID: 1796727,LX 570 ,52000.0,2012,black,Truck:,,Left,,Petrol,,,145000.0,Automatic,,No
3319,BMW,2018-08-30, ID: 1797370,545 ,10500.0,2003,White,Sedan,,Left,,Petrol,,,72000.0,Automatic,,No
3320,Infiniti,2018-08-30, ID: 1796844,QX56 ,9500.0,2005,black,Universal,,Left,,Petrol,,,200000.0,Automatic,,No
3321,Hyundai,2018-08-30, ID: 1796820,Elantra ,7600.0,2014,Silver,Sedan,,Left,,Petrol,,,200.0,Automatic,,No
3322,Nissan,2018-08-30, ID: 1796567,Teana ,4700.0,2006,Silver,Sedan,,Right,,Astragalus,,,102000.0,Automatic,,No
3323,Nissan,2018-08-30, ID: 1796848,Tiida ,3900.0,2005,White,Sedan,,Left,,Petrol,,,118000.0,Automatic,,No
3324,Honda,2018-08-30, ID: 1796568,CR-V ,5700.0,2004,black,Truck:,158.0,Right,4.0,Astragalus,2.0,black,160000.0,Automatic,Wheel drive,No
3325,Toyota,2018-08-30, ID: 1796910,Rav 4 ,11800.0,2009,black,Truck:,171.0,Left,4.0,Astragalus,2.5,Beige,100000.0,Automatic,Wheel drive,No
3326,Lexus,2018-08-30, ID: 1796707,RX 300 ,7400.0,2002,Blue,Universal,,Left,,Astragalus,,,195000.0,Automatic,,No
3327,Infiniti,2018-08-30, ID: 1796603,FX35 ,9500.0,2008,black,Truck:,,Left,,Petrol,,,99999.0,Automatic,,No
3328,Toyota,2018-08-30, ID: 1796580,Alphard ,7600.0,2006,White,Minivan / Minibus,162.0,Left,4.0,Petrol,2.4,Grey,131000.0,Automatic,Front,No
3329,Land Rover,2018-08-30, ID: 1796618,Range Rover ,14900.0,2008,Grey,Truck:,270.0,Left,6.0,Astragalus,4.0,black,75000.0,Automatic,Wheel drive,No
3330,Hyundai,2018-08-30, ID: 1796703,Sonata ,11500.0,2011,White,Sedan,,Left,,Astragalus,,,115000.0,Automatic,,No
3331,Toyota,2018-08-30, ID: 1797281,Corolla ,10000.0,2011,White,Sedan,,Left,,Petrol,,,28002.0,Automatic,,No
3332,Nissan,2018-08-30, ID: 1797280,Fuga ,4800.0,2005,White,Sedan,215.0,Right,6.0,Astragalus,2.5,Beige,160000.0,Automatic,Rear,No
3333,Mazda,2018-08-30, ID: 1796578,Atenza ,6000.0,2008,White,Sedan,170.0,Right,4.0,Petrol,2.5,White,72000.0,Automatic,Front,No
3334,Land Rover,2018-08-30, ID: 1796566,Range Rover Sport ,17000.0,2007,black,Truck:,,Left,,Petrol,,Beige,160000.0,Automatic,Wheel drive,No
3335,Kia,2018-08-30, ID: 1796762,Forte Coupe ,7800.0,2013,black,Coupe,,Left,,Petrol,,,120000.0,Automatic,,No
3336,Toyota,2018-08-30, ID: 1797321,Camry ,9300.0,2010,Grey,Sedan,,Left,,Petrol,,,89000.0,Automatic,,No
3337,Toyota,2018-08-30, ID: 1796806,Camry ,13700.0,2015,black,Sedan,,Left,,Petrol,,,88000.0,Automatic,,No
3338,Toyota,2018-08-30, ID: 1796941,Rav 4 ,19500.0,2014,White,Truck:,,Left,,Petrol,,,49000.0,Automatic,,No
3339,BMW,2018-08-30, ID: 1796758,330 ,6100.0,2004,black,Sedan,,Left,,Petrol,,,270000.0,Automatic,,No
3340,Mercedes-Benz,2018-08-30, ID: 1796773,E 200 ,25000.0,2014,White,Sedan,,Left,,Petrol,,,65000.0,Automatic,,No
3341,Toyota,2018-08-30, ID: 1796803,Camry ,8700.0,2010,black,Sedan,,Left,,Petrol,,,93000.0,Automatic,,No
3342,Hyundai,2018-08-30, ID: 1797203,Elantra ,4900.0,2006,Silver,Sedan,,Left,,Petrol,,,200000.0,Automatic,,No
3343,Lexus,2018-08-30, ID: 1796615,GX 470 ,14900.0,2008,Grey,Truck:,,Left,,Astragalus,,,75000.0,Automatic,,No
3344,Opel,2018-08-30, ID: 1796699,Zafira ,3800.0,2002,black,Sedan,,Left,,Petrol,,,140000.0,Mechanical,,No
3345,BMW,2018-08-30, ID: 1796925,X5 ,8200.0,2003,Grey,Truck:,,Left,,Petrol,,,86000.0,Automatic,,No
3346,Opel,2018-08-30, ID: 1796701,Vectra B ,2700.0,2000,Silver,Sedan,,Left,,Astragalus,,,188000.0,Mechanical,,No
3347,Mercedes-Benz,2018-08-30, ID: 1796874,E 320 ,6500.0,2002,Silver,Sedan,,Left,,Astragalus,,,50000.0,Automatic,,No
3348,GAZ,2018-08-30, ID: 1797271,3110 ,1500.0,2003,green,Sedan,159.0,Left,,Astragalus,,Grey,326000.0,Mechanical,Rear,No
3349,Toyota,2018-08-30, ID: 1796845,Corolla ,8500.0,2012,black,Sedan,,Left,,Petrol,,,96800.0,Automatic,,Yes
3350,Volkswagen,2018-08-30, ID: 1797127,Touareg ,7200.0,2004,black,Universal,310.0,Left,8.0,Astragalus,4.2,black,222000.0,Automatic,Wheel drive,No
3351,Mercedes-Benz,2018-08-30, ID: 1797388,C 180 ,5000.0,2002,Other color,Sedan,,Left,,Astragalus,,,100.0,Automatic,,No
3352,BMW,2018-08-30, ID: 1797346,X5 ,5500.0,2000,Silver,Truck:,231.0,Left,6.0,Petrol,3.0,Other color,200002.0,Automatic,Wheel drive,No
3353,Mercedes-Benz,2018-08-30, ID: 1797390,E 350 ,10800.0,2007,black,Sedan,272.0,Left,6.0,Petrol,3.5,black,170000.0,Automatic,Rear,No
3354,Mercedes-Benz,2018-08-30, ID: 1797416,C 180 ,9800.0,2008,black,Sedan,,Left,4.0,Petrol,1.8,black,178000.0,Automatic,Rear,No
3355,VAZ(Lada),2018-08-30, ID: 1797272,21099 ,2200.0,2001,green,Sedan,,Left,,Astragalus,,,11111.0,Mechanical,,No
3356,Toyota,2018-08-30, ID: 1797410,Corolla ,8200.0,2010,White,Sedan,,Left,,Petrol,1.8,black,10.0,Automatic,Front,No
3357,Toyota,2018-08-30, ID: 1797057,Camry ,12000.0,2015,black,Sedan,,Left,,Petrol,,,96000.0,Automatic,,No
3358,Nissan,2018-08-30, ID: 1797019,Teana ,5500.0,2007,black,Sedan,,Left,,Petrol,,,100000.0,Automatic,,No
3359,Nissan,2018-08-30, ID: 1797018,Teana ,5500.0,2007,black,Sedan,,Left,,Petrol,,,100000.0,Automatic,,No
3360,Nissan,2018-08-30, ID: 1797009,BlueBird ,4400.0,2006,White,Sedan,,Right,,Astragalus,,,140000.0,Variator:,,No
3361,Hyundai,2018-08-30, ID: 1797345,Sonata ,4800.0,2004,black,Sedan,,Left,,Astragalus,,,94.0,Mechanical,,No
3362,Nissan,2018-08-30, ID: 1796867,X-Trail ,5150.0,2005,black,Truck:,150.0,Left,4.0,Petrol,2.0,Grey,81000.0,Automatic,Wheel drive,No
3363,Toyota,2018-08-30, ID: 1796677,Camry ,17300.0,2015,White,Sedan,178.0,Left,4.0,Petrol,2.5,black,38000.0,Automatic,Front,No
3364,Hyundai,2018-08-30, ID: 1797023,Atos ,2400.0,2004,Grey,Hatchback,,Left,,Petrol,,,120000.0,Mechanical,,No
3365,Mercedes-Benz,2018-08-30, ID: 1796753,C 240 ,4.0,2000,Silver,Sedan,,Left,,Petrol,,,150000.0,Mechanical,,No
3366,Hyundai,2018-08-30, ID: 1797022,Atos ,2400.0,2004,Grey,Hatchback,,Left,,Petrol,,,120000.0,Mechanical,,No
3367,Mercedes-Benz,2018-08-30, ID: 1796905,CLS 55 AMG ,13900.0,2009,White,Sedan,388.0,Left,8.0,Petrol,5.5,black,122000.0,Automatic,Rear,No
3368,Nissan,2018-08-30, ID: 1797323,Skyline ,4000.0,2004,White,Sedan,,Right,,Petrol,,,125000.0,Automatic,,No
3369,Mercedes-Benz,2018-08-30, ID: 1797063,E 320 ,8200.0,2004,Other color,Sedan,,Left,,Astragalus,,,74000.0,Automatic,Wheel drive,No
3370,Toyota,2018-08-30, ID: 1797374,Corolla ,8500.0,2011,black,Sedan,133.0,Left,6.0,Astragalus,1.8,Grey,140000.0,Automatic,Front,No
3371,Hyundai,2018-08-30, ID: 1797248,Sonata ,12200.0,2015,White,Sedan,185.0,Left,4.0,Petrol,2.4,Grey,43000.0,Automatic,Front,Yes
3372,Toyota,2018-08-30, ID: 1797387,Rav 4 ,5500.0,2002,Silver,Universal,,Left,,Petrol,,,180000.0,Automatic,,No
3373,BMW,2018-08-30, ID: 1796736,X5 ,6000.0,2002,black,Truck:,,Left,,Astragalus,,,189000.0,Automatic,,No
3374,Toyota,2018-08-30, ID: 1796842,Camry ,12000.0,2013,black,Sedan,,Left,,Petrol,,,80000.0,Automatic,,Yes
3375,BMW,2018-08-30, ID: 1796827,320 ,5600.0,2005,Blue,Sedan,170.0,Left,6.0,Petrol,2.2,yellow,100000.0,Automatic,Rear,No
3376,Toyota,2018-08-30, ID: 1796870,Land Cruiser 200 ,31500.0,2009,black,Truck:,,Left,,Petrol,,,87000.0,Automatic,,No
3377,Mercedes-Benz,2018-08-30, ID: 1796614,ML 350 ,23.711340206185568,2011,Blue,Truck:,,Left,,Petrol,3.5,black,70000.0,Automatic,,No
3378,Toyota,2018-08-30, ID: 1796616,Land Cruiser Prado ,14900.0,2008,Grey,Truck:,,Left,,Astragalus,,,75000.0,Automatic,,No
3379,Nissan,2018-08-30, ID: 1796626,Tiida ,4300.0,2007,Silver,Sedan,,Right,,Petrol,,,66000.0,Variator:,,No
3380,Mercedes-Benz,2018-08-30, ID: 1796628,CLK 320 ,8500.0,2005,black,Coupe,,Left,,Astragalus,,,160000.0,Automatic,,No
3381,Toyota,2018-08-30, ID: 1796660,Camry ,9300.0,2011,Grey,Sedan,171.0,Left,4.0,Astragalus,2.5,black,156000.0,Automatic,Front,No
3382,Opel,2018-08-30, ID: 1796763,Vita ,3350.0,2001,Blue,Hatchback,90.0,Left,4.0,Petrol,1.4,Beige,29000.0,Automatic,Front,No
3383,Nissan,2018-08-30, ID: 1796604,Altima ,7700.0,2012,cyan,Sedan,,Left,4.0,Petrol,2.5,black,100000.0,Automatic,Front,No
3384,Honda,2018-08-31, ID: 1798421,Edix ,3900.0,2006,White,Hatchback,130.0,Right,4.0,Astragalus,1.7,black,140000.0,Automatic,,No
3385,VAZ(Lada),2018-08-31, ID: 1798506,2107 ,2600.0,2008,Blue,Sedan,75.0,Left,,Astragalus,1.3,Other color,90000.0,Mechanical,Rear,No
3386,Honda,2018-08-31, ID: 1798239,Odyssey ,7950.0,2007,black,Minivan / Minibus,,Left,,Petrol,,,108000.0,Automatic,,No
3387,Hummer,2018-08-31, ID: 1798148,H3 ,13800.0,2009,red,Truck:,,Left,,Petrol,,,126000.0,Automatic,,No
3388,Mercedes-Benz,2018-08-31, ID: 1797565,E 350 ,8700.0,2007,Grey,Sedan,,Left,,Astragalus,,,180000.0,Automatic,,No
3389,Mercedes-Benz,2018-08-31, ID: 1798055,C 180 ,4500.0,2001,Silver,Sedan,,Left,,Astragalus,,,260000.0,Mechanical,,No
3390,Mercedes-Benz,2018-08-31, ID: 1798264,C 230 ,6800.0,2006,black,Sedan,204.0,Left,6.0,Petrol,2.5,,65000.0,Automatic,Rear,No
3391,BMW,2018-08-31, ID: 1797898,528 ,8200.0,2007,White,Sedan,,Left,,Petrol,,,270000.0,Automatic,,No
3392,Toyota,2018-08-31, ID: 1798080,Camry ,19400.0,2015,black,Sedan,,Left,,Petrol,,,62000.0,Automatic,,No
3393,Mercedes-Benz,2018-08-31, ID: 1797659,E 430 ,4.577319587628867,2000,black,Sedan,,Left,,Astragalus,4.3,black,270000.0,Automatic,Rear,No
3394,BMW,2018-08-31, ID: 1798135,M3 ,5500.0,2001,black,Sedan,,Left,,Petrol,,,152000.0,Automatic,,No
3395,BMW,2018-08-31, ID: 1798109,X5 ,6200.0,2003,Silver,Truck:,,Left,,Diesel,,,170000.0,Mechanical,,No
3396,Nissan,2018-08-31, ID: 1798106,Qashqai ,8000.0,2008,White,Universal,140.0,Left,,Petrol,2.0,,120000.0,Automatic,,No
3397,BMW,2018-08-31, ID: 1797651,750 ,33000.0,2004,black,Sedan,,Left,,Petrol,,,1000000.0,Kiaavtomat,,No
3398,Lexus,2018-08-31, ID: 1798501,GX 470 ,14500.0,2005,White,Truck:,263.0,Left,8.0,Petrol,4.7,Grey,121000.0,Automatic,Wheel drive,No
3399,BMW,2018-08-31, ID: 1797909,318 ,5700.0,2003,White,Sedan,,Left,,Petrol,,,50000.0,Automatic,,No
3400,Volkswagen,2018-08-31, ID: 1798178,Jetta ,2300.0,2003,Silver,Sedan,,Left,,Petrol,,,200000.0,Automatic,,No
3401,Infiniti,2018-08-31, ID: 1798402,FX37 ,24000.0,2012,Grey,Universal,,Left,,Petrol,,,28540.0,Kiaavtomat,,No
3402,Mercedes-Benz,2018-08-31, ID: 1797657,E 320 ,6000.0,2002,Grey,Sedan,,Left,,Petrol,,,230000.0,Automatic,,No
3403,VAZ(Lada),2018-08-31, ID: 1797470,2172 Priora ,3.5051546391752577,2010,White,Furgon:,,Right,,Astragalus,,,180000.0,Mechanical,,No
3404,VAZ(Lada),2018-08-31, ID: 1798259,2107 ,2400.0,2008,White,Sedan,,Left,,Astragalus,,,126000.0,Mechanical,,No
3405,Suzuki,2018-08-31, ID: 1797486,SX 4 ,5200.0,2009,White,Sedan,110.0,Right,4.0,Astragalus,1.5,black,115000.0,Automatic,Front,No
3406,Volkswagen,2018-08-31, ID: 1797554,Passat ,5500.0,2005,black,Sedan,,Left,,Petrol,,,275000.0,Automatic,,No
3407,Volkswagen,2018-08-31, ID: 1797912,Golf ,4300.0,2005,Silver,Hatchback,,Right,,Petrol,,,81000.0,Automatic,,No
3408,Subaru,2018-08-31, ID: 1798154,Forester ,4800.0,2005,black,Universal,,Right,,Petrol,,,999999.0,Automatic,,No
3409,VAZ(Lada),2018-08-31, ID: 1797469,2172 Priora ,3.5051546391752577,2010,White,Furgon:,,Right,,Astragalus,,,180000.0,Mechanical,,No
3410,Nissan,2018-08-31, ID: 1798312,Tiida ,3800.0,2005,White,Sedan,110.0,Right,4.0,Petrol,1.5,Beige,129000.0,Variator:,Front,No
3411,Mazda,2018-08-31, ID: 1798332,3 ,4500.0,2010,Grey,Sedan,,Left,,Petrol,,,136000.0,Automatic,,No
3412,Kia,2018-08-31, ID: 1798477,Sportage ,10600.0,2011,black,Truck:,,Left,,Petrol,,,130000.0,Automatic,,No
3413,Lexus,2018-08-31, ID: 1798486,GX 470 ,19000.0,2008,Other color,Truck:,,Left,,Petrol,,,99000.0,Automatic,,No
3414,Niva,2018-08-31, ID: 1798487,2121 ,6500.0,2014,White,Truck:,81.0,Left,4.0,Petrol,1.7,black,19000.0,Mechanical,Wheel drive,No
3415,Infiniti,2018-08-31, ID: 1798507,QX4 ,6000.0,2001,black,Truck:,,Left,,Astragalus,,,80000.0,Automatic,,No
3416,Nissan,2018-08-31, ID: 1797997,X-Trail ,4400.0,2001,Other color,Truck:,,Right,,Astragalus,,,207000.0,Automatic,,No
3417,Nissan,2018-08-31, ID: 1797906,X-Trail ,4800.0,2006,White,Truck:,150.0,Left,4.0,Petrol,0.2,black,140000.0,Automatic,,No
3418,Honda,2018-08-31, ID: 1797507,Elysion ,5700.0,2004,White,Minivan / Minibus,,Right,,Petrol,,,183000.0,Automatic,,Yes
3419,Mercedes-Benz,2018-08-31, ID: 1798049,A 170 ,4000.0,2005,Silver,Hatchback,,Left,,Astragalus,,,230000.0,Automatic,,No
3420,Mazda,2018-08-31, ID: 1798220,6 ,17980.0,2016,Cherry,Sedan,185.0,Left,6.0,Petrol,2.5,black,29000.0,Automatic,Front,Yes
3421,Mazda,2018-08-31, ID: 1798213,6 ,11700.0,2013,black,Sedan,,Left,,Petrol,,,90000.0,Automatic,,Yes
3422,BMW,2018-08-31, ID: 1798473,316 ,4500.0,2001,Blue,Sedan,,Left,,Astragalus,,,141000.0,Mechanical,,Yes
3423,BMW,2018-08-31, ID: 1798339,530 ,8500.0,2003,black,Sedan,,Left,,Petrol,,,75000.0,Automatic,,Yes
3424,Hyundai,2018-08-31, ID: 1798177,Sonata ,7800.0,2010,black,Sedan,,Left,,Astragalus,,,146000.0,Automatic,,Yes
3425,Mitsubishi,2018-08-31, ID: 1798468,Pajero ,7000.0,2003,White,Universal,180.0,Right,6.0,Petrol,3.5,Grey,120000.0,Automatic,Wheel drive,Yes
3426,Mercedes-Benz,2018-08-31, ID: 1798358,E 350 ,11500.0,2006,White,Sedan,,Left,,Petrol,,black,86000.0,Automatic,,No
3427,Niva,2018-08-31, ID: 1798424,2121 ,2800.0,2007,White,Sedan,,Left,,Astragalus,,,168000.0,Mechanical,,Yes
3428,Hyundai,2018-08-31, ID: 1798380,Sonata ,12000.0,2015,Silver,Sedan,,Left,,Petrol,2.4,Grey,40000.0,Automatic,,Yes
3429,Mercedes-Benz,2018-08-31, ID: 1798401,A 170 ,4500.0,2008,black,Hatchback,,Left,,Petrol,,,84000.0,Automatic,,No
3430,Mercedes-Benz,2018-08-31, ID: 1798330,Vito ,5900.0,2001,White,Universal,143.0,Right,4.0,Astragalus,2.3,Grey,95000.0,Automatic,Front,Yes
3431,Mercedes-Benz,2018-08-31, ID: 1798074,S 55  AMG ,17500.0,2007,black,Sedan,388.0,Left,8.0,Petrol,5.5,black,94000.0,Automatic,Rear,Yes
3432,Opel,2018-08-31, ID: 1797783,Zafira ,4900.0,2004,Silver,Universal,,Left,,Petrol,,,135000.0,Mechanical,,Yes
3433,Toyota,2018-08-31, ID: 1798394,Camry ,11950.0,2013,Other color,Sedan,,Left,,Petrol,2.5,Beige,66000.0,Automatic,Rear,Yes
3434,Mercedes-Benz,2018-08-31, ID: 1798386,S 350 ,18000.0,2007,Silver,Sedan,272.0,Left,6.0,Petrol,3.5,black,125000.0,Automatic,Rear,No
3435,Nissan,2018-08-31, ID: 1797868,Sentra ,8900.0,2015,White,Sedan,131.0,Left,4.0,Petrol,1.8,black,60000.0,Variator:,Front,Yes
3436,Chevrolet,2018-08-31, ID: 1797583,Epica ,11000.0,2011,White,Sedan,,Left,,Petrol,,,160000.0,Automatic,,Yes
3437,Toyota,2018-08-31, ID: 1797519,Camry ,12500.0,2013,Silver,Sedan,178.0,Left,4.0,Astragalus,2.5,black,72000.0,Automatic,Front,Yes
3438,Opel,2018-08-31, ID: 1798102,Zafira ,4500.0,2003,Silver,Minivan / Minibus,147.0,Left,4.0,Petrol,2.2,black,137000.0,Automatic,Front,Yes
3439,Nissan,2018-08-31, ID: 1797933,Teana ,4300.0,2006,Other color,Sedan,,Right,,Astragalus,,,68000.0,Automatic,,No
3440,Nissan,2018-08-31, ID: 1797930,Cefiro ,3100.0,2002,Silver,Sedan,,Right,,Astragalus,,,206000.0,Automatic,,No
3441,Nissan,2018-08-31, ID: 1798279,Pathfinder ,5500.0,2000,black,Truck:,,Left,,Petrol,,,195000.0,Automatic,,No
3442,Volkswagen,2018-08-31, ID: 1797477,Jetta ,2.672164948453608,2000,Silver,Sedan,,Left,6.0,Petrol,2.8,Grey,308000.0,Mechanical,Front,No
3443,Mercedes-Benz,2018-08-31, ID: 1798095,S 550 ,17500.0,2007,black,Sedan,388.0,Left,8.0,Petrol,5.5,black,94000.0,Automatic,Rear,Yes
3444,Honda,2018-08-31, ID: 1798480,Elysion ,6500.0,2004,White,Minivan / Minibus,,Right,,Astragalus,,Beige,200000.0,Automatic,,Yes
3445,Hyundai,2018-08-31, ID: 1797969,H-1 ,5300.0,2000,Silver,Truck:,,Left,,Diesel,,,190000.0,Mechanical,,No
3446,Mercedes-Benz,2018-08-31, ID: 1797937,E 320 ,6300.0,2004,black,Sedan,,Left,,Astragalus,,,111.0,Automatic,,Yes
3447,Nissan,2018-08-31, ID: 1797991,Altima ,3700.0,2005,Other color,Sedan,,Left,,Astragalus,,,230000.0,Automatic,,Yes
3448,Nissan,2018-08-31, ID: 1797480,Elgrand ,8500.0,2007,White,Minivan / Minibus,240.0,Left,6.0,Petrol,3.5,black,113000.0,Automatic,Wheel drive,Yes
3449,Toyota,2018-08-31, ID: 1797471,Land Cruiser 200 ,31000.0,2010,White,Truck:,,Left,,Petrol,,,200000.0,Automatic,,Yes
3450,Mercedes-Benz,2018-08-31, ID: 1797490,CLS 350 ,12500.0,2005,Silver,Sedan,,Left,,Petrol,,,13.0,Automatic,,Yes
3451,Mercedes-Benz,2018-08-31, ID: 1797598,C 300 ,12000.0,2008,black,Sedan,,Left,,Petrol,,,170000.0,Automatic,,Yes
3452,Mercedes-Benz,2018-08-31, ID: 1797976,CLS 350 ,11000.0,2005,Silver,Sedan,,Left,,Petrol,,,130000.0,Automatic,,No
3453,Chevrolet,2018-08-31, ID: 1797552,Epica ,12000.0,2012,White,Sedan,,Left,,Petrol,,,138000.0,Automatic,,Yes
3454,Nissan,2018-08-31, ID: 1797995,X-Trail ,4400.0,2001,Other color,Truck:,,Right,,Astragalus,,,207000.0,Automatic,,No
3455,Toyota,2018-08-31, ID: 1797447,Camry ,8800.0,2010,black,Sedan,,Left,,Petrol,,,69000.0,Automatic,,No
3456,Toyota,2018-08-31, ID: 1797674,Camry ,1000.0,2013,Other color,Sedan,,Left,,Petrol,,,35000.0,Automatic,,No
3457,Mitsubishi,2018-08-31, ID: 1797459,Montero ,7000.0,2001,Silver,Truck:,204.0,Left,6.0,Petrol,3.5,black,17000.0,Automatic,Wheel drive,No
3458,Honda,2018-08-31, ID: 1797913,Elysion ,6200.0,2004,White,Minivan / Minibus,250.0,Right,6.0,Astragalus,,Beige,177000.0,Automatic,Front,No
3459,Mercedes-Benz,2018-08-31, ID: 1797501,E 320 ,7300.0,2004,White,Sedan,,Left,,Petrol,,,97000.0,Automatic,,No
3460,Mercedes-Benz,2018-08-31, ID: 1798429,C 180 ,6000.0,2003,Grey,Sedan,,Left,,Petrol,,,272000.0,Mechanical,,No
3461,Nissan,2018-08-31, ID: 1798471,Maxima ,24500.0,2017,White,Sedan,,Left,,Petrol,,,16300.0,Automatic,,No
3462,Mercedes-Benz,2018-08-31, ID: 1798427,E 200 ,20500.0,2013,black,Sedan,,Left,,Petrol,,,140000.0,Automatic,,No
3463,Toyota,2018-08-31, ID: 1798519,Corolla ,9100.0,2010,Grey,Sedan,132.0,Left,4.0,Petrol,1.8,black,66000.0,Automatic,Front,No
3464,Toyota,2018-08-31, ID: 1798439,MR-S ,6500.0,2000,White,Coupe,,Left,,Petrol,,,160000.0,Automatic,,No
3465,Nissan,2018-08-31, ID: 1798453,Teana ,4000.0,2004,Beige,Sedan,,Right,,Astragalus,,,140000.0,Automatic,,No
3466,Mercedes-Benz,2018-08-31, ID: 1798406,C 230 ,4300.0,2003,Grey,Sedan,,Left,,Astragalus,,,155000.0,Automatic,,No
3467,Mercedes-Benz,2018-08-31, ID: 1798482,C 320 ,4000.0,2001,Grey,Sedan,,Left,,Astragalus,,,200000.0,Automatic,,No
3468,Nissan,2018-08-31, ID: 1798520,Teana ,4500.0,2005,black,Sedan,,Right,,Astragalus,,,59000.0,Automatic,,No
3469,Mercedes-Benz,2018-08-31, ID: 1798375,320 ,5500.0,2000,Silver,Sedan,,Left,,Astragalus,,,156000.0,Kiaavtomat,,No
3470,Mercedes-Benz,2018-08-31, ID: 1798381,B 200 ,5700.0,2006,black,Universal,,Left,,Petrol,,,50000.0,Automatic,,No
3471,BMW,2018-08-31, ID: 1798390,328 ,9900.0,2009,black,Sedan,,Left,,Petrol,,,200000.0,Automatic,,No
3472,Nissan,2018-08-31, ID: 1797485,Liberty ,3000.0,2000,Silver,Minivan / Minibus,,Right,,Astragalus,,,209000.0,Automatic,,No
3473,BMW,2018-08-31, ID: 1798348,116 ,10900.0,2012,White,Universal,,Left,,Petrol,,,130000.0,Automatic,,No
3474,Nissan,2018-08-31, ID: 1797484,Liberty ,3000.0,2000,Silver,Minivan / Minibus,,Right,,Astragalus,,,209000.0,Automatic,,No
3475,Honda,2018-08-31, ID: 1797784,Elysion ,6700.0,2005,White,Minivan / Minibus,,Right,,Astragalus,,,190000.0,Automatic,,No
3476,Honda,2018-08-31, ID: 1797832,Odyssey ,7700.0,2007,black,Universal,,Left,,Petrol,,,138000.0,Automatic,,No
3477,Nissan,2018-08-31, ID: 1797515,Tiida ,3700.0,2007,Silver,Sedan,,Right,,Astragalus,,,145000.0,Variator:,,No
3478,Nissan,2018-08-31, ID: 1797546,Elgrand ,7000.0,2004,White,Minivan / Minibus,,Right,,Petrol,,,134000.0,Automatic,,No
3479,Mercedes-Benz,2018-08-31, ID: 1797558,SL 500 ,8500.0,2002,White,Cabriolet / Rhodes,,Left,,Petrol,,,120000.0,Automatic,,No
3480,VAZ(Lada),2018-08-31, ID: 1798166,2106 ,2100.0,2004,purple,Sedan,,Left,,Astragalus,,,10000.0,Mechanical,,No
3481,Audi,2018-08-31, ID: 1797491,A4 ,5000.0,2002,black,Sedan,,Left,,Astragalus,,,99999.0,Automatic,,No
3482,Opel,2018-08-31, ID: 1798503,Astra ,3100.0,2000,black,Sedan,,Left,,Petrol,,,180000.0,Mechanical,,No
3483,Ford,2018-08-31, ID: 1798129,Explorer ,9300.0,2009,black,Truck:,,Left,,Petrol,,,68000.0,Automatic,,No
3484,Toyota,2018-08-31, ID: 1797514,Camry ,7200.0,2007,Silver,Sedan,,Left,,Petrol,,,170000.0,Automatic,,No
3485,BMW,2018-08-31, ID: 1797503,318 ,4500.0,2004,Silver,Sedan,,Right,,Petrol,,,62000.0,Automatic,,No
3486,Mercedes-Benz,2018-08-31, ID: 1797454,E 200 ,32000.0,2014,White,Sedan,194.0,Left,4.0,Petrol,2.0,black,72000.0,Automatic,Rear,No
3487,Nissan,2018-08-31, ID: 1797497,Teana ,5600.0,2006,White,Sedan,,Left,,Astragalus,,,120000.0,Automatic,,No
