brand,model,price,year,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train,sold
Mercedes-Benz,C 230 ,6700,2006,White,Sedan,204,Left,6,Petrol,2.5,black,100000,Automatic,Rear,No
BMW,525,7500,2007,Blue,Sedan,218,Left,6,Petrol,2.5,Other color,115000,Automatic,Wheel drive,No
Lexus,GX 470 ,16500,2006,black,Universal,263,Left,8,Petrol,4.7,,113800,Automatic,Wheel drive,Yes
Mitsubishi,Outlander ,9900,2011,Grey,Truck:,147,Left,4,Petrol,2,,67000,Automatic,Front,No
Mercedes-Benz,E 320 ,6000,2001,White,Sedan,224,Left,6,Astragalus,3.2,black,181000,Automatic,Rear,No
Volkswagen,Jetta ,6999,2011,Grey,Sedan,150,Left,5,Petrol,2.5,black,130000,Automatic,Front,No
Toyota,Camry ,15000,2017,black,Sedan,181,Left,4,Petrol,2.5,black,78000,Automatic,Front,No
Nissan,Tiida ,4099,2010,Silver,Hatchback,109,Left,4,Petrol,1.5,black,168000,Variator:,Front,Yes
Opel,Astra ,3600,2004,Blue,Hatchback,90,Left,4,Petrol,1.4,black,137000,Mechanical,Front,Yes
Toyota,Rav 4 ,14500,2012,White,Truck:,260,Left,6,Petrol,3.5,Grey,89000,Automatic,Wheel drive,Yes
Nissan,X-Trail ,5300,2005,Other color,Truck:,150,Left,4,Petrol,2,black,124000,Automatic,Wheel drive,Yes
Lexus,GX 470 ,15200,2005,White,Truck:,270,Left,8,Petrol,4.7,Beige,105000,Automatic,Wheel drive,Yes
Nissan,Maxima ,8500,2010,White,Sedan,290,Left,6,Petrol,3.5,Beige,70000,Automatic,Front,Yes
Mercedes-Benz,E 320 ,6500,2003,black,Sedan,236,Left,6,Petrol,3.2,black,190000,Automatic,Rear,Yes
Mazda,CX5 ,21000,2016,White,Universal,149,Left,4,Petrol,2,Chestnut,76000,Automatic,Wheel drive,Yes
Land Rover,Range Rover Sport ,22800,2011,black,Truck:,510,Left,8,Petrol,5,black,132000,Automatic,Wheel drive,Yes
Lexus,GX 470 ,13500,2004,black,Truck:,238,Left,8,Petrol,4.7,black,120000,Automatic,Wheel drive,Yes
Lexus,GX 470 ,19000,2009,White,Universal,273,Left,8,Petrol,4.7,Beige,125000,Automatic,Wheel drive,Yes
Nissan,Skyline ,4500,2005,White,Sedan,215,Left,6,Petrol,2.5,black,71000,Automatic,Rear,Yes
Mercedes-Benz,Viano ,9800,2004,black,Minivan / Minibus,218,Left,6,Astragalus,3.2,,327000,Automatic,Rear,Yes
Toyota,Rav 4 ,10500,2008,White,Truck:,260,Left,6,Petrol,3.5,Grey,98000,Automatic,Wheel drive,Yes
Land Rover,Range Rover Sport ,22500,2011,Other color,Universal,510,Left,8,Petrol,5,Chestnut,107000,Automatic,Wheel drive,Yes
Mercedes-Benz,E 350 ,8500,2007,White,Sedan,272,Left,6,Petrol,3.5,Beige,91000,Automatic,Wheel drive,Yes
BMW,530,7400,2007,Silver,Sedan,258,Left,6,Petrol,3,black,146000,Automatic,Rear,Yes
BMW,X6 ,25000,2010,black,Truck:,408,Left,8,Astragalus,4.4,Beige,83000,Robot,Wheel drive,Yes
Lexus,RX 350 ,12200,2006,Other color,Truck:,232,Left,6,Astragalus,3.3,Beige,107000,Automatic,Wheel drive,Yes
Nissan,Teana ,4900,2006,Silver,Sedan,173,Left,6,Petrol,2.3,Beige,24000,Automatic,Front,Yes
BMW,530,8500,2007,black,Sedan,258,Left,6,Petrol,3,black,107000,Automatic,Rear,Yes
Honda,Fit ,4000,2008,black,Hatchback,100,Right,4,Petrol,1.3,Blue,133500,Variator:,Front,Yes
Toyota,Sequoia ,10900,2004,black,Truck:,238,Left,8,Petrol,4.7,Grey,118000,Automatic,Wheel drive,Yes
Toyota,Camry ,8200,2011,black,Sedan,179,Left,4,Petrol,2.5,,147000,Automatic,Front,Yes
BMW,320,5800,2003,White,Sedan,170,Left,6,Petrol,2.2,black,95000,Automatic,Rear,Yes
Opel,Astra ,3300,2002,Silver,Hatchback,84,Left,4,Petrol,1.6,Grey,168000,Mechanical,Front,Yes
Opel,Astra ,3000,2000,Other color,Hatchback,75,Left,4,Petrol,1.6,black,186500,Mechanical,Front,Yes
Toyota,Land Cruiser Prado ,23800,2010,White,Universal,163,Left,4,Petrol,2.7,Grey,106000,Automatic,Wheel drive,Yes
Nissan,Tiida ,3600,2005,black,Hatchback,109,Right,4,Petrol,1.5,Beige,84000,Variator:,Front,No
Mercedes-Benz,B 170 ,5800,2008,black,Hatchback,116,Left,4,Petrol,1.7,black,79000,Automatic,Front,No
Mercedes-Benz,S 320 ,6700,2000,White,Sedan,224,Left,6,Petrol,3.2,black,95000,Automatic,Rear,No
Toyota,Rav 4 ,9350,2007,White,Universal,170,Left,4,Petrol,2.4,Beige,97997,Automatic,Wheel drive,No
Mercedes-Benz,E 320 ,5900,2001,White,Sedan,224,Left,6,Astragalus,3.2,Beige,210000,Automatic,Rear,No
Mercedes-Benz,Viano ,7990,2005,Silver,Minivan / Minibus,190,Left,6,Petrol,3.2,Grey,114000,Automatic,Rear,No
VAZ(Lada),2112,2200,2005,Silver,Hatchback,98,Left,4,Petrol,1.6,Grey,217000,Mechanical,Front,No
Opel,Astra ,3300,2002,Silver,Universal,85,Left,4,Petrol,1.6,black,118000,Mechanical,Front,Yes
Honda,Elysion ,7300,2005,black,Minivan / Minibus,161,Left,4,Petrol,2.4,black,140,Automatic,Front,No
Lexus,LX 570 ,40000,2014,White,Truck:,388,Left,8,Petrol,5.7,black,89863,Automatic,Wheel drive,No
BMW,X5 ,15000,2014,White,Universal,450,Left,8,Petrol,4.4,black,65000,Automatic,,No
Nissan,Pathfinder ,16400,2013,White,Truck:,260,Left,6,Petrol,3.5,black,96000,Automatic,,No
Mercedes-Benz,Vito ,5500,2001,Silver,Minivan / Minibus,150,Left,4,Petrol,2.3,Grey,115000,Automatic,Front,No
Toyota,Camry ,8300,2008,White,Sedan,158,Left,4,Petrol,2.4,Beige,115000,Automatic,Front,No
BMW,525,8999,2006,black,Sedan,217,Left,6,Petrol,2.5,black,70000,Automatic,Rear,Yes
Mercedes-Benz,S 500 ,13000,2008,White,Sedan,388,Left,8,Petrol,5,Beige,170000,Automatic,Wheel drive,No
Nissan,X-Trail ,4800,2004,Grey,Truck:,150,Right,4,Astragalus,2,Grey,128000,Automatic,Wheel drive,No
BMW,325,6400,2006,Grey,Sedan,220,Left,6,Petrol,2.5,Beige,180000,Automatic,Rear,No
Lexus,GX 470 ,16500,2007,black,Truck:,263,Left,8,Petrol,4.7,Beige,155000,Automatic,Wheel drive,No
Opel,Zafira ,4100,2002,Silver,Minivan / Minibus,125,Left,4,Petrol,1.8,black,147000,Automatic,Front,Yes
Toyota,Camry ,13800,2013,White,Sedan,181,Left,4,Petrol,2.5,black,54400,Automatic,Front,No
Kia,Forte ,6100,2010,Aubergine,Sedan,156,Left,4,Petrol,2,Other color,77000,Automatic,Front,Yes
Mercedes-Benz,CLS 350 ,12500,2006,White,Coupe,272,Left,6,Petrol,3.5,black,165000,Automatic,Rear,No
BMW,530,6500,2007,Silver,Sedan,258,Left,6,Petrol,3,Grey,159000,Automatic,Rear,Yes
Hyundai,Sonata ,10500,2014,Grey,Sedan,187,Left,4,Petrol,2.4,Beige,60000,Automatic,Front,No
Nissan,Teana ,5700,2006,Silver,Sedan,173,Left,6,Petrol,2.3,Grey,160000,Automatic,Front,No
Toyota,Corolla ,9200,2011,Grey,Sedan,135,Left,4,Petrol,1.8,black,103000,Automatic,Front,No
BMW,325,4700,2003,Blue,Sedan,192,Left,6,Astragalus,2.5,black,173000,Automatic,Wheel drive,No
Lexus,RX 350 ,27000,2015,Silver,Universal,277,Left,6,Petrol,3.5,black,34500,Automatic,Wheel drive,No
Mercedes-Benz,E 350 ,9500,2007,Silver,Sedan,272,Left,6,Petrol,3.5,black,170000,Automatic,Rear,No
Land Rover,Range Rover ,31611.67835,2012,black,Truck:,510,Left,8,Petrol,5,black,98000,Automatic,Wheel drive,No
Opel,Astra ,3100,2000,Silver,Hatchback,101,Left,4,Petrol,1.6,,191000,Mechanical,Front,No
Opel,Astra ,3300,2003,Blue,Hatchback,84,Left,4,Petrol,1.6,Grey,146000,Mechanical,Front,No
Toyota,Camry ,9100,2011,black,Sedan,181,Left,4,Petrol,2.5,black,92700,Automatic,Front,No
Kia,Forte ,7800,2014,Silver,Sedan,150,Left,4,Petrol,1.8,black,81000,Automatic,Front,No
Toyota,Voxy ,5500,2006,Golden,Minivan / Minibus,250,Left,6,Petrol,3.8,Beige,140000,Automatic,,No
Toyota,Alphard ,5900,2006,Golden,Minivan / Minibus,250,Left,6,Petrol,3.8,Beige,140000,Automatic,Front,No
Nissan,Altima ,4500,2003,Silver,Sedan,175,Left,4,Astragalus,2.5,,80000,Automatic,Front,No
Toyota,Land Cruiser 200 ,34000,2009,White,Truck:,288,Left,8,Petrol,4.7,Beige,57000,Automatic,Wheel drive,No
Mitsubishi,Outlander ,8800,2007,black,Truck:,220,Left,6,Astragalus,3,Beige,155000,Automatic,Wheel drive,No
Opel,Vectra B ,3300,2001,Silver,Hatchback,147,Left,4,Astragalus,2.2,black,201000,Mechanical,Front,No
Lexus,GS 350 ,24500,2012,black,Sedan,317,Left,6,Petrol,3.5,black,68000,Automatic,Rear,No
Nissan,Tiida ,4200,2008,White,Sedan,109,Left,4,Petrol,1.5,Grey,95000,Automatic,Front,No
Toyota,Ipsum ,5500,2006,Golden,Minivan / Minibus,250,Left,6,Petrol,3.8,Beige,140000,Automatic,Front,No
Nissan,X-Trail ,4500,2004,Silver,Truck:,150,Switched from right to left,4,Petrol,2,black,195000,Automatic,Wheel drive,No
Suzuki,Grand Vitara ,7000,2007,Silver,Truck:,186,Left,6,Petrol,2.7,black,160000,Automatic,Wheel drive,No
Mercedes-Benz,350,11000,2008,black,Sedan,272,Left,6,Petrol,3.5,White,120000,Automatic,Rear,No
Toyota,Land Cruiser Prado ,17000,2004,White,Truck:,163,Right,4,Petrol,2.7,Beige,59452,Automatic,Rear,No
BMW,330,6600,2004,Blue,Sedan,250,Left,4,Petrol,3,black,160000,Mechanical,Rear,No
Mercedes-Benz,S 350 ,13500,2006,black,Sedan,272,Left,6,Petrol,3.5,Beige,148000,Automatic,Rear,No
Nissan,Teana ,4500,2006,Silver,Sedan,173,Left,6,Petrol,2.3,black,84000,Automatic,Front,No
Porsche,Cayenne ,10300,2004,Grey,Truck:,250,Left,6,Petrol,3.2,black,155000,Automatic,Wheel drive,No
Suzuki,Swift ,5300,2008,White,Hatchback,90,Right,4,Petrol,1.2,black,155000,Variator:,Front,No
Volkswagen,Passat ,9500,2011,black,Sedan,170,Left,5,Petrol,2.5,black,120000,Automatic,Front,No
Volkswagen,Golf ,3990,2002,Silver,Hatchback,115,Left,4,Astragalus,2,black,156000,Automatic,Front,No
Honda,CR-V ,16500,2015,black,Truck:,185,Left,4,Petrol,2.5,black,55000,Automatic,Wheel drive,No
Infiniti,FX35 ,13000,2007,White,Truck:,280,Left,6,Petrol,3.5,Beige,134000,Automatic,Wheel drive,No
GAZ,31105,2300,2004,Silver,Sedan,150,Left,4,Astragalus,2.3,black,201000,Mechanical,Rear,No
Mercedes-Benz,C 320 ,5600,2003,black,Sedan,218,Left,6,Astragalus,3.2,black,198000,Automatic,Wheel drive,No
Volkswagen,Passat ,3000,2000,Silver,Universal,193,Left,6,Petrol,2.8,,200000,Automatic,Front,No
BMW,M3 ,5100,2001,black,Sedan,170,Left,6,Petrol,2.2,black,170000,Mechanical,Rear,No
VAZ(Lada),2107,2600,2011,Cherry,Sedan,80,Left,4,Astragalus,1.7,Grey,123,Mechanical,Rear,No
Lexus,RX 300 ,6000,2002,Silver,Truck:,210,Left,6,Astragalus,3,black,80000,Automatic,Wheel drive,No
Nissan,Tiida ,4100,2008,Silver,Hatchback,109,Right,4,Petrol,1.5,Grey,87000,Automatic,Front,No
Toyota,Camry ,9700,2011,Grey,Sedan,181,Left,4,Petrol,2.5,black,73000,Automatic,Front,No
Toyota,Camry ,8000,2009,Grey,Sedan,177,Left,4,Petrol,2.4,Grey,149000,Automatic,Front,No
Toyota,Corolla ,13500,2016,black,Sedan,122,Left,4,Petrol,1.6,black,38000,Automatic,Front,No
Hyundai,Santa Fe ,4800,2001,White,Truck:,170,Left,6,Astragalus,2.7,Grey,175000,Automatic,Front,No
Mercedes-Benz,C 240 ,4300,2002,Blue,Sedan,170,Left,6,Astragalus,2.6,Grey,210000,Automatic,Rear,No
Mercedes-Benz,CLS 350 ,13500,2007,White,Coupe,272,Left,6,Petrol,3.5,black,71000,Automatic,Rear,No
Mercedes-Benz,E 320 ,8000,2004,black,Sedan,224,Left,6,Petrol,3.2,White,253000,Automatic,Rear,Yes
Nissan,Altima ,5000,2007,black,Sedan,188,Left,4,Astragalus,2.5,black,140000,Automatic,Front,No
Toyota,Camry ,8000,2007,White,Sedan,170,Left,4,Petrol,2.4,Beige,134580,Automatic,Wheel drive,Yes
Mercedes-Benz,E 320 ,6300,2001,Silver,Sedan,221,Left,6,Petrol,3.2,black,85000,Automatic,Rear,Yes
BMW,525,9500,2006,White,Sedan,218,Left,6,Petrol,2.5,black,71000,Automatic,Rear,Yes
Hyundai,Elantra ,8400,2011,black,Sedan,148,Left,4,Petrol,1.8,Grey,53000,Automatic,,No
BMW,323,6150,2006,black,Sedan,180,Left,6,Petrol,2.3,black,149000,Automatic,Rear,No
BMW,X5 ,15000,2007,black,Truck:,355,Left,8,Petrol,4.8,black,170000,Automatic,Wheel drive,No
BMW,325,4000,2000,black,Sedan,192,Left,6,Petrol,2.5,black,248000,Automatic,Rear,No
Land Rover,Range Rover Sport ,16000,2007,black,Truck:,396,Left,8,Petrol,4.2,Beige,125000,Robot,Wheel drive,No
Mercedes-Benz,S 500 ,15700,2008,black,Sedan,387,Left,8,Petrol,5.5,White,167000,Automatic,Wheel drive,No
Nissan,Fuga ,5200,2005,black,Sedan,210,Right,6,Petrol,2.5,black,185000,Automatic,Rear,No
Hyundai,Tucson ,10600,2010,Chestnut,Truck:,176,Left,6,Petrol,2.4,Chestnut,114000,Automatic,Wheel drive,No
Mercedes-Benz,S 500 ,14550,2006,black,Sedan,388,Left,8,Petrol,5.5,black,121000,Automatic,Rear,No
Opel,Astra ,3750,2003,Silver,Hatchback,84,Left,4,Astragalus,1.6,Other color,175000,Mechanical,Front,No
Ford,Transit ,8500,2005,White,Minivan / Minibus,320,Left,8,Petrol,5,Blue,360000,Mechanical,Rear,No
Toyota,Camry ,12900,2014,black,Sedan,184,Left,4,Petrol,2.5,black,87000,Automatic,Front,No
Chevrolet,Niva ,4500,2008,Silver,Truck:,125,Left,4,Petrol,1.8,black,76000,Mechanical,Wheel drive,No
Honda,Elysion ,6800,2005,White,Universal,160,Left,6,Petrol,2.4,Beige,101000,Automatic,Front,Yes
BMW,320,6300,2003,White,Sedan,170,Left,6,Petrol,2.2,black,148000,Automatic,Rear,No
Mitsubishi,Grandis ,5300,2003,Other color,Minivan / Minibus,175,Right,4,Petrol,2.4,Grey,69000,Automatic,Wheel drive,No
Mercedes-Benz,E 350 ,11000,2008,Silver,Sedan,272,Left,6,Petrol,3.5,black,200000,Automatic,Wheel drive,No
Opel,Zafira ,3200,2000,green,Universal,101,Left,4,Astragalus,1.6,,242000,Mechanical,Front,Yes
Mercedes-Benz,B 170 ,5500,2008,White,Hatchback,116,Left,4,Petrol,2.4,black,90000,Automatic,Front,Yes
Mercedes-Benz,E 320 ,8000,2004,black,Sedan,224,Left,6,Astragalus,3.2,black,140000,Automatic,Rear,Yes
Mitsubishi,Airtrek ,3550,2004,Grey,Universal,160,Right,4,Astragalus,2.4,,160300,Robot,Front,No
Mercedes-Benz,E 320 ,6000,2001,White,Sedan,224,Left,6,Astragalus,3.2,black,182000,Automatic,Rear,Yes
BMW,X5 ,6000,2004,White,Truck:,333,Left,8,Petrol,4.4,Chestnut,134,Automatic,Wheel drive,No
Ford,Focus ,6200,2012,cyan,Sedan,150,Left,4,Petrol,2,Beige,69000,Mechanical,Front,Yes
Nissan,Fuga ,5700,2005,black,Sedan,210,Left,6,Petrol,2.5,Beige,110000,Automatic,Rear,Yes
Nissan,Tiida ,4400,2007,red,Hatchback,118,Left,4,Petrol,1.6,black,75000,Automatic,,Yes
Nissan,Xterra ,5600,2004,Silver,Truck:,170,Left,6,Astragalus,3.3,Grey,110000,Automatic,Rear,No
Volkswagen,Touareg ,10000,2007,Grey,Truck:,280,Left,6,Petrol,3.6,,135000,Automatic,Wheel drive,No
Audi,A6 ,4300,2002,Silver,Universal,220,Left,6,Astragalus,3,,243998,Robot,Front,No
VAZ(Lada),2107,2850,2010,Other color,Sedan,80,Left,4,Astragalus,1.7,,29000,Mechanical,Rear,No
Audi,A6 ,13500,2007,Blue,Sedan,255,Left,6,Petrol,3.2,Beige,92800,Automatic,Front,No
Mercedes-Benz,E 320 ,7000,2005,black,Sedan,224,Left,6,Astragalus,3.2,Beige,170000,Automatic,Rear,No
Toyota,Corolla ,13500,2016,White,Sedan,133,Left,4,Petrol,1.8,black,7000,Automatic,Front,No
Nissan,Teana ,4600,2007,Other color,Sedan,173,Left,6,Petrol,2.3,Beige,58000,Automatic,,No
Ford,Transit ,6000,2001,Blue,Universal,75,Left,4,Diesel,2,Grey,192000,Mechanical,Front,No
Toyota,Camry ,11990,2014,Silver,Sedan,178,Left,4,Petrol,2.5,black,39000,Automatic,Front,No
Mitsubishi,Airtrek ,3650,2002,Silver,Truck:,126,Right,4,Astragalus,2,Grey,117000,Automatic,Front,No
Opel,Astra ,3300,2002,Other color,Hatchback,101,Left,4,Petrol,1.6,Grey,230000,Mechanical,Front,No
Volkswagen,Polo ,11200,2018,White,Sedan,110,Left,4,Petrol,1.6,,10,Mechanical,Front,No
Nissan,Tiida ,3600,2005,Silver,Sedan,126,Right,4,Astragalus,1.8,black,56000,Variator:,Front,No
Nissan,Tiida ,4100,2007,Other color,Sedan,173,Switched from right to left,6,Petrol,2.3,Beige,58000,Automatic,Front,No
Mazda,6,15200,2015,White,Sedan,184,Left,4,Petrol,2.5,black,29500,Automatic,Front,No
Ford,Transit ,8500,2014,White,Minivan / Minibus,143,Left,4,Diesel,2.2,black,85000,Mechanical,Front,No
Opel,Astra ,3900,2001,Grey,Universal,125,Left,4,Astragalus,1.8,black,156000,Automatic,Front,Yes
BMW,525,7000,2004,green,Sedan,192,Left,6,Petrol,2.5,Beige,240000,Automatic,Rear,No
BMW,320,6000,2003,Silver,Sedan,170,Left,6,Petrol,2.2,black,140000,Automatic,Rear,No
Volkswagen,Golf ,4200,2000,black,Hatchback,116,Left,4,Astragalus,2,black,115000,Automatic,Front,No
Volkswagen,Golf ,4200,2003,Silver,Hatchback,115,Left,4,Astragalus,2,black,98000,Automatic,Front,Yes
Mitsubishi,Grandis ,3500,2003,black,Minivan / Minibus,165,Right,4,Astragalus,2.4,Chestnut,333333,Automatic,Front,No
Kia,Sorento ,11200,2011,black,Truck:,174,Left,4,Petrol,2.4,black,120000,Automatic,Wheel drive,Yes
Toyota,Camry ,11200,2012,black,Sedan,178,Left,4,Petrol,2.5,black,89000,Automatic,Front,Yes
Honda,Fit ,3200,2003,Grey,Hatchback,110,Right,4,Petrol,1.5,black,140000,Variator:,Front,Yes
Mercedes-Benz,E 320 ,7700,2003,Other color,Sedan,224,Left,6,Petrol,3.2,black,198000,Automatic,,Yes
Mercedes-Benz,S 500 ,6800,2000,White,Sedan,306,Left,8,Petrol,5,black,102000,Automatic,Rear,Yes
Opel,Zafira ,4500,2004,Silver,Universal,125,Left,4,Petrol,1.8,Grey,195000,Mechanical,Front,Yes
Mercedes-Benz,E 320 ,8000,2002,White,Sedan,224,Left,6,Petrol,3.2,black,117000,Automatic,Rear,Yes
Nissan,X-Trail ,5300,2006,Silver,Truck:,150,Left,4,Petrol,2,Grey,86000,Automatic,Wheel drive,Yes
Toyota,Corolla ,8400,2011,Silver,Sedan,133,Left,4,Petrol,1.8,black,69840,Automatic,Front,Yes
BMW,525,8000,2006,black,Sedan,218,Left,6,Petrol,2.5,Beige,150000,Automatic,Rear,Yes
Kia,Forte ,6700,2011,Grey,Sedan,156,Left,4,Petrol,2,White,93000,Automatic,Front,No
Lexus,IS 250 ,11800,2010,black,Sedan,208,Left,6,Petrol,2.5,black,120000,Automatic,Rear,Yes
Mercedes-Benz,E 240 ,5700,2001,White,Sedan,170,Left,6,Astragalus,2.4,black,123000,Automatic,Rear,No
Toyota,Corolla ,13500,2016,Grey,Sedan,136,Left,4,Petrol,1.8,black,25000,Automatic,Front,No
Toyota,Altezza ,4000,2001,White,Sedan,210,Right,4,Petrol,2,,150000,Automatic,Rear,No
BMW,X5 ,9500,2006,Silver,Truck:,231,Left,6,Petrol,3,black,272000,Automatic,Wheel drive,No
Toyota,Land Cruiser 100 ,17600,2006,black,Truck:,235,Left,8,Petrol,4.7,Other color,205000,Automatic,Wheel drive,No
Mercedes-Benz,E 350 ,9200,2007,black,Sedan,272,Left,6,Astragalus,3.5,Grey,120000,Automatic,Rear,No
Nissan,Teana ,4201,2007,Golden,Sedan,170,Left,6,Petrol,2.3,Beige,105000,Automatic,Front,No
Mercedes-Benz,E 350 ,11000,2008,White,Sedan,272,Left,6,Petrol,3.5,Beige,185000,Automatic,Rear,Yes
Nissan,Teana ,4000,2003,White,Sedan,173,Right,6,Astragalus,2.3,Beige,140000,Automatic,Front,Yes
GAZ,31105,1500,2005,black,Sedan,145,Left,4,Astragalus,2,black,100000,Mechanical,Rear,No
Ford,Fusion ,7000,2008,Grey,Sedan,221,Left,6,Petrol,3,Beige,180000,Automatic,Wheel drive,No
Mercedes-Benz,C 240 ,5000,2001,Silver,Sedan,170,Left,6,Astragalus,2.4,black,222000,Automatic,Rear,No
Mitsubishi,Airtrek ,4700,2004,Grey,Universal,126,Left,4,Astragalus,0.2,black,160000,Automatic,Front,No
BMW,325,4600,2004,black,Sedan,192,Left,6,Petrol,2.5,black,200000,Automatic,Rear,No
BMW,528,11400,2008,black,Sedan,234,Left,6,Petrol,3,black,48000,Automatic,Rear,Yes
Mercedes-Benz,C 230 ,6500,2005,White,Sedan,192,Left,4,Astragalus,2.3,Grey,240000,Mechanical,Rear,No
Toyota,Camry ,6900,2007,Grey,Sedan,158,Left,4,Petrol,2.4,Grey,105000,Automatic,Front,Yes
Toyota,Camry ,12500,2012,White,Sedan,178,Left,4,Petrol,2.5,black,64000,Automatic,Front,Yes
Kia,Optima ,9000,2012,Silver,Sedan,200,Left,4,Petrol,2.4,Grey,78000,Automatic,Front,No
Infiniti,FX35 ,17200,2009,White,Universal,307,Left,6,Petrol,3.5,black,70818,Automatic,Wheel drive,No
BMW,320,6700,2004,White,Sedan,170,Left,6,Petrol,2.2,black,105000,Automatic,Rear,No
Toyota,Alphard ,6800,2005,black,Universal,170,Left,4,Petrol,2.4,black,128000,Automatic,Front,Yes
Nissan,BlueBird ,4600,2006,White,Sedan,133,Right,4,Astragalus,2,Beige,88000,Automatic,Front,Yes
Mitsubishi,Outlander ,7500,2008,White,Truck:,220,Left,6,Petrol,3,Beige,85000,Automatic,Wheel drive,Yes
Mitsubishi,Montero ,5100,2001,White,Truck:,204,Left,4,Astragalus,3.5,Grey,200000,Automatic,Wheel drive,Yes
Kia,Forte ,6300,2010,White,Sedan,156,Left,4,Petrol,2,Beige,114000,Automatic,Front,Yes
Mercedes-Benz,S 550 ,17000,2007,black,Sedan,388,Left,8,Petrol,5.5,black,75600,Automatic,Rear,No
Volkswagen,Caddy ,10500,2013,White,Furgon:,109,Left,4,Astragalus,2,black,112000,Mechanical,Front,Yes
Toyota,Camry ,15000,2017,black,Sedan,181,Left,6,Petrol,2.5,black,38000,Automatic,Front,Yes
Lexus,RX 350 ,16800,2010,White,Universal,268,Left,6,Petrol,3.5,Beige,106000,Automatic,Wheel drive,Yes
Toyota,Corolla ,8200,2008,White,Sedan,158,Left,4,Petrol,2.4,black,106700,Automatic,Front,Yes
Nissan,Skyline ,6200,2007,Other color,Sedan,225,Right,6,Petrol,2.5,black,141998,Automatic,Rear,No
Opel,Zafira ,4000,2002,Silver,Universal,125,Left,4,Petrol,1.8,black,145000,Automatic,Front,No
Nissan,Tiida ,4300,2008,Blue,Hatchback,109,Right,4,Astragalus,1.5,black,68000,Automatic,Front,No
Opel,Astra ,3000,2000,Silver,Hatchback,90,Left,4,Petrol,1.4,black,250000,Mechanical,Front,No
Volkswagen,Passat CC ,9900,2012,Grey,Coupe,200,Left,4,Petrol,2,black,87000,Automatic,Front,No
Toyota,Camry ,11500,2013,White,Coupe,178,Left,4,Petrol,2.5,black,47000,Automatic,Front,No
Honda,CR-V ,6500,2005,Other color,Truck:,160,Right,4,Astragalus,2.4,Grey,214000,Automatic,Wheel drive,No
BMW,320,6700,2004,White,Sedan,170,Left,6,Petrol,2.2,black,105000,Automatic,Rear,No
VAZ(Lada),2121,6500,2012,White,Truck:,82,Left,4,Astragalus,1.7,black,105000,Mechanical,Wheel drive,No
BMW,X6 ,26000,2012,black,Truck:,306,Left,6,Petrol,3.5,black,115000,Automatic,Wheel drive,No
BMW,318,5700,2004,White,Sedan,143,Left,4,Astragalus,2,black,130000,Automatic,Rear,Yes
Toyota,Prius ,6100,2006,Chestnut,Hatchback,76,Left,4,Hybrid:,1.5,Beige,131000,Automatic,Front,Yes
Mitsubishi,Outlander ,7000,2007,black,Truck:,220,Left,6,Petrol,3,black,150000,Automatic,Wheel drive,Yes
Honda,Elysion ,6200,2004,cyan,Minivan / Minibus,160,Right,4,Astragalus,2.4,Grey,135000,Automatic,Front,Yes
Hyundai,Elantra ,7600,2012,black,Sedan,148,Left,4,Petrol,1.8,black,1659,Automatic,Front,Yes
Opel,Zafira ,3450,2002,Blue,Minivan / Minibus,125,Left,4,Petrol,1.8,black,141200,Mechanical,Front,Yes
BMW,530,7700,2005,White,Sedan,235,Left,6,Petrol,3,Beige,200000,Automatic,,Yes
Toyota,Camry ,9500,2014,White,Sedan,178,Left,4,Petrol,2.5,black,72300,Automatic,Front,Yes
BMW,X5 ,7000,2003,Blue,Truck:,231,Left,5,Astragalus,0.3,black,230000,Automatic,Wheel drive,No
BMW,745,7200,2002,black,Sedan,333,Left,8,Petrol,4.5,black,186000,Automatic,Rear,No
BMW,318,5700,2005,black,Cabriolet / Rhodes,150,Left,5,Petrol,1.8,black,230000,Robot,Rear,Yes
Nissan,X-Trail ,6200,2007,black,Truck:,150,Left,4,Petrol,2,black,74000,Automatic,Wheel drive,No
Mercedes-Benz,CLS 500 ,13000,2005,White,Sedan,306,Left,8,Petrol,5,black,126000,Automatic,Rear,Yes
BMW,525,9500,2006,Silver,Sedan,218,Left,6,Petrol,2.5,black,74000,Automatic,Rear,No
Ford,Fusion ,10500,2014,Silver,Sedan,170,Left,4,Hybrid:,2,black,128000,Automatic,Front,Yes
Mercedes-Benz,C 240 ,5500,2005,White,Sedan,170,Left,6,Petrol,2.4,White,146000,Automatic,Wheel drive,Yes
Volkswagen,New Beetle ,3250,2001,red,Coupe,115,Left,4,Petrol,2,Beige,46000,Automatic,Front,Yes
Nissan,Tiida ,4200,2008,black,Hatchback,109,Left,4,Petrol,1.5,black,135000,Automatic,Front,Yes
Nissan,X-Trail ,4800,2003,White,Truck:,150,Right,4,Petrol,2,Grey,116000,Automatic,Wheel drive,No
Lexus,RX 330 ,9800,2004,black,Universal,240,Left,6,Petrol,3.3,Grey,151000,Automatic,Wheel drive,Yes
BMW,X5 ,13800,2008,black,Truck:,272,Left,6,Astragalus,3,Beige,180000,Automatic,Wheel drive,No
Mercedes-Benz,S 320 ,6200,2001,White,Sedan,224,Left,6,Petrol,3.2,black,70000,Automatic,Rear,Yes
